DURAMAZ2;DURAMAZ 2 : vers un observatoire de la durabilité en Amazonie
EsCA;Espaces de la culture chinoise en Afrique :diffusion, agencements, interactions
KHAM;Territoires, communautés et échanges dans les marges sino-tibétaines du Kham (Chine)
ModULand;Usage des sols : modèles, dynamique et décisions
NEORETRO;Neo ou rétro-constitutionnalismes. Lectures et relectures des mutations de la démocratie constitutionnelle (1990-2010)
PART_IDENT;Identification partielle de modèles économiques structurels
POLECOMI;Economie politique de la migration internationale et de ses effets sur les pays d’origine. Analyse du Sénégal et du Mali
GEDIM;Discrimination ethnique et par genre dans les marchés : le rôle de l'espace
RESOCIT;Citations scientifiques et réseaux sociaux : étude des dynamiques relationnelles impliquées dans la production et la diffusion des publications scientifiques (chimie, biologie, économie et sociologie).
HEARFIN;Entendre la structure temporelle fine des sons
Lowvision;Processus perceptifs et cognitifs après perte partielle ou totale de la vision maculaire : vers une approche plus écologique
MINDPROGEST;Rôle de l'attribution des états mentaux dans la construction du sens: Marqueurs de référence,prosodie et geste
PP 16-17;Panini et les Paninéens des XVIe-XVIIe siècles
PREMS;Influence du développement phonologique et de l’input sur les premiers mots
MULTIMEX;Les vestiges d’un jour bleu : Synesthésies et langage, expertises multimodales
DIONEIA;Lire Cassius Dion
ERHO;Études sur la Renaissance d’Horace
ICEM;Les élites politiques de la Révolution française à la Ve République
PRIVILEGES;Les privilèges économiques en Europe, XV-XIXe s.
UTOPIES19;Intellectuels et expérimentateurs socialistes
DAMIN;La dépréciation de l’argent monétaire et les relations internationales
IDT;Les idées du théâtre
MINEMET;Production et provenance d’or et d’étain dans l’Occident protohistorique et antique
MetPAT;La métallurgie en Patagonie: les technologies de la bijouterie en argent au XIX s.
EMAQS;Estimation et manipulation à l'échelle Quantique
GeMeCoD;Géométrie des mesures convexes et discrètes
GeoDyM;Géométrie et dynamique dans les espaces de modules
INTERFACE;Surfaces et interfaces dans les variétés: aspects analytiques et géométriques
LANDQUAKES;Modélisation des glissements de terrain et des ondes sismiques générées pour détecter et comprendre les instabilités gravitaires
MANIF;Problèmes mathématiques et numériques en simulation moléculaire ab initio
SGT;Structures Géométriques et Triangulations
STAAVF;Singularités de Trajectoires de Champs de Vecteurs Analytiques et Algébriques
STOSYMAP;Systèmes stochastiques en mathématiques et physique mathématique
NOSEVOL;Opérateurs non-autoadjoints, analyse semiclassique et problèmes d’évolution
AMMSI;Vieillissement et maintenance en fiabilité :modélisation et inférence statistique
ModGroup;Actions et représentations de groupes modulaires
ARAMIS;Analyse de méthodes asymptotiques robustes pour la simulation numérique en mécanique
ALTA;Analyse des opérateurs de transport lumineux et applications.
BR4CP;Modèles et algorithmes pour le conseil et la gestion des préférences en configuration de produit.
DynRes;Ressources dynamiques: séparation et mise à jour.
EQINOCS;Entropie et quantité d’information dans les modèles des systèmes computationnels.
HPAC;Calcul Algébrique Haute-Performance.
NeTOC;Nouvelles Techniques en Calcul en-ligne.
Net-WMS-2;Systèmes de gestion d'entrepôts 2: packing avec formes complexes.
PRESAGE;méthodes PRobabilistes pour l'Éfficacité des Structures et Algorithmes GEométriques.
TYPEX;Intégration des approches langage, logique et orientée données pour un traitement XML certifié,dirigé par les types.
CLIMT;Méthodes catégoriques et logiques en transformations de modèles.
MLVIS;Apprentissage Automatique pour l'annotation visuelle dans les media sociaux.
CAOREV;Apport de la théorie du chaos ondulatoire pour l’étude et l’optimisation des chambres réverbérantes
ChaSlim;Vers une commande par modes glissants performante: réduction du chattering, rejet de perturbations, et boite à outils.
FETUSES;Analyses statistiques non stationnaires et multifractales du rythme cardiaque foetal perPartum pour la détection d'asphyxie
HAMECMOPSYS;Approche Hamiltonienne pour l'analyse et la commande des systèmes multiphysiques à paramètres distribués
MASTHER;Récepteur terahertz hétérodyne tout état solide miniaturisé pour applications en sécurité
NEMESIS;Architecture neuromorphique pour circuit de vision intellingent
SODDA;Diagnostic de défauts non francs dans les réseaux de câbles
VESUVE;Laser à cavité verticale émettant par la surface dans la gamme de l’ultrat-violet
COSMOS;COmposantS millimétriques Main gauche pour la détection des Ondes gravitationnelles primordialeS
LEMA;Assemblage de microcomposants en milieu liquide confiné Advice Applications innovantes des centres colorés NV du Diamant
CGC@LHC;Interactions multiples et production de particules au LHC
ChyMENE;Cible d'hydrogène mince pour l'étude des noyaux exotiques
FREEFLOW;Liquides (presque) sans parois –Hydrodynamique(presque) sans contact
GlassPhon;Phonons sub-terahertz dans les verres
HIPATI;Interférométrie atomique de haute précision
LAKRIDI;Localisation du « rotateur pulse atomique» en présence de désordre et d'interaction
LIOM;Lien optique multiplexé pour la métrologie et la physique fondamentale
NANOFLAM;Contrôle de la filamentation et de ka génération de plasma avec les ompulsions non-diffractantes femtoseconde en régime nonlinéaire. Applicationsà la nano-structuration laser à ultra heut rapport de forme
PRINCESS;Instrumentation et études novatrices sur les systèmes à électrons corrélés sous pression
QuDec;Décohérence dans les systèmes quantiques fermés
ROLEX;Renouveau des lasers X à recombinaisons
StrongInt;Dynamique à fort couplage et intégrabilité en théorie de jauge
SUPERTRAMP;Au delà de graphène : Dopage, supraconductivité et trasitions de phase en 2D
TERRE;Transport électronique en régime relativiste dans des plasmons denses
PROCONTROL;Contrôle cohérent vibrationnel dans les protéines à l'aide d'impulsions femtosecondes infrarouges façonnés
MoNOToRe;Micro et nano-optomécanique en régime quantique
GAMES;Croissance d'agrégats et fusion: nouvelles avancées
AAIR;Récepteur intégré pour réseau phasé
ADRIMED;Impact du forçage radiatif direct des aérosols sur le climat Méditerranéen
APOSTIC;Analyse des Observations Photométriques pour l'Etude du Climat de Titan
CLIMSLIP;Climate impacts of short-lived pollutants and methane in the Arctic
CMBmelt;Fusion à l'interface noyau manteau
CoRo;Architectures Biominérales : le modèle 'CorailRouge'
GlobCoast;Estimation et analyse de la variabilité biogéochimique aux échelles saisonnières, inter-annuelle et décennale des eaux côtières globales par télédétection spatiale et impact vers les niveaux trophiques supérieurs
IODA-MED;Observation et Assimilation de Données:: Des systèmes Innovants pour les événements météorologiques intenses en MEDiterranée
MONOPOL;Paléo-variabilité de la mousson indienne
OLA;Layering Océanique : une route vers la dissipation au sein des océans ? Aspects numériques, théoriques et expérimentaux de la structure en couches et de la turbulence généré par les tourbillons lenticulaires
RALI;L’avènement du règne animal (Cambrien-Ordovicien) – organisation et tempo : apports des faunes à préservation exceptionnelle
RHUM-RUM;Imagerie mantellique du point chaud de La Réunion
SAM;Source d’aérosols marins dans l’atmosphère méditerranéenne
SEISGLOB;Imagerie globale du manteau terrestre en ondes S
